category_type,category,metric,n_category,n_other,mean_diff,median_diff,cohens_d,mann_whitney_p,adj_beta,adj_p,platform_top,platform_share,low_sample
specific,mod_framework_library,downloads,29,1718,16268692.073140379,16654217.0,1.0678044672104325,3.15718317062457e-13,0.016032650784384095,0.9221367774283636,minecraft,1.0,False
specific,mod_framework_library,rating,27,984,-18.769207227826136,-4.234177112579346,-0.5455145112826704,6.476373372291104e-10,,,minecraft,1.0,False
specific,monitoring_alerting,stars,3,1746,-2128.127720504009,-200.0,-0.2633459152890439,0.43519718082451375,-0.50777791093395,0.37746720183942983,homeassistant,1.0,True
specific,monitoring_alerting,downloads,3,1744,-6861268.772171254,-391479.0,-0.4462811684747311,0.01098878225605343,-0.4428116196247107,0.23368666723679307,homeassistant,1.0,True
specific,monitoring_alerting,rating,3,1008,-18.322321341449324,-4.194174766540527,-0.5306957187942152,0.041961996465382526,,,homeassistant,1.0,True
specific,navigation_search,stars,16,1733,562.1442945758799,321.0,0.0695601364000327,0.1840023499857295,0.2938253728035667,0.2341445600700832,sublime,0.25,False
specific,navigation_search,downloads,16,1731,-40525.76465915609,770730.5,-0.0026354886416270944,0.3311154305072085,-0.06244641740048207,0.695644446307395,sublime,0.25,False
specific,navigation_search,rating,7,1004,-14.47593878873063,0.27569233433584106,-0.41936632549736874,0.38646966649433057,,,sublime,0.25,True
specific,note_taking_writing,stars,2,1747,-1234.72266742988,732.5,-0.15278414934749096,0.34577185849079395,0.7359531666733443,0.26363385922525107,obsidian,1.0,True
specific,note_taking_writing,downloads,2,1745,-6760365.131232091,-293243.0,-0.43969155590489856,0.42524196711189544,-0.578713508502452,0.17379049707033917,obsidian,1.0,True
specific,organization_tagging,stars,6,1743,-1634.5849110728627,168.0,-0.20227442516641705,0.5340146620966211,0.1705403680529427,0.6570909319184159,obsidian,1.0,True
specific,organization_tagging,downloads,6,1741,-6721918.887421022,-219000.5,-0.4372858446339281,0.2732254541844299,-0.2313482983218843,0.35141748123773153,obsidian,1.0,True
specific,performance_caching,stars,14,1735,-2066.2790037052287,5.0,-0.25574368605074244,0.23251972747298733,1.6556192427827972,1.7854635675343363e-05,wordpress,1.0,False
specific,performance_caching,downloads,14,1733,-6837637.912620558,-365114.0,-0.44501843351049397,0.00033832734392876896,0.521886753849448,0.0365665628612292,wordpress,1.0,False
specific,performance_caching,rating,14,997,58.25300195081437,82.85,1.7203731723129068,1.587001258279228e-05,,,wordpress,1.0,False
specific,performance_optimization,stars,21,1728,-1699.6467427248676,-154.0,-0.210366143764193,0.2168316236371175,0.7500935952213794,0.008638331433888148,minecraft,0.9523809523809523,False
specific,performance_optimization,downloads,21,1726,21277076.012470342,21250505.0,1.3997233703145167,8.103758091770775e-10,0.11316212562680306,0.5400509891526681,minecraft,0.9523809523809523,False
specific,performance_optimization,rating,20,991,-18.636629578386398,-4.223618030548096,-0.5411068960572982,1.1670362266899022e-07,,,minecraft,0.9523809523809523,False
specific,privacy_security,stars,30,1719,1740.5102966841182,251.0,0.2154516073582332,0.12001984996812931,0.7576417931952548,0.0029870608643711217,firefox,1.0,False
specific,privacy_security,downloads,30,1717,-6530425.087225782,-380051.5,-0.42533795530166485,8.273819960344834e-07,0.6840474042654209,3.325280932145114e-05,firefox,1.0,False
specific,privacy_security,rating,26,985,-14.273715795263723,0.31845000000000034,-0.4141464526553663,0.049627211522180595,,,firefox,1.0,False
specific,productivity_workflow,stars,267,1482,-478.9179820770594,72.5,-0.059273831967485764,0.014377263415659376,-0.08877924906618206,0.23590675929548519,obsidian,0.31086142322097376,False
specific,productivity_workflow,downloads,267,1480,-2053175.3157050312,-65019.0,-0.13367751248759296,0.8447115297580514,-0.15151672829554907,0.001738316025734616,obsidian,0.31086142322097376,False
specific,productivity_workflow,rating,110,901,-15.926896569073236,0.19123723983764584,-0.46595933614673546,0.02005993688674068,,,obsidian,0.31086142322097376,False
specific,security_authentication,stars,23,1726,2774.1926545417905,1040.0,0.3435361152193571,0.0012792010217790389,-0.25285819904669093,0.3120242929292991,chrome,1.0,False
specific,security_authentication,downloads,23,1724,-2509106.140976496,1600000.0,-0.16320150725535454,0.07064179753313124,0.7053597579611407,1.250046267297771e-05,chrome,1.0,False
specific,security_authentication,rating,18,993,-15.294140562787094,-0.06047641754150401,-0.4435639612156758,0.5931107898275026,,,chrome,1.0,False
specific,security_privacy,stars,7,1742,-2347.2049368541907,-396.0,-0.29048733807366,0.0005378503918092617,-0.29416836150383974,0.5666452145497144,wordpress,1.0,True
